ID_Étudiant,Nom,Travaux_Collaboratifs,Coéquipiers,Communautés,Nombre_Interactions,Compétences,Centres_d'Intérêt,profil_textuel
1,Etudiant_1,8.0,"[49, 36, 30]","['Club Robotique', 'Groupe IA']",91.0,"['Blockchain', 'IA', 'Data Science']","['Jeux vidéo', 'Musique']",Blockchain IA Data Science Blockchain IA Data Science Blockchain IA Data Science Jeux vidéo Musique Jeux vidéo Musique Club Robotique Groupe IA
2,Etudiant_2,5.0,"[16, 5]","['Club Entrepreneurs', 'Groupe IA']",63.0,"['IA', 'Blockchain', 'Python']",['Musique'],IA Blockchain Python IA Blockchain Python IA Blockchain Python Musique Musique Club Entrepreneurs Groupe IA
3,Etudiant_3,10.0,"[22, 9, 41, 34]","['Groupe IA', 'Club Robotique']",23.0,"['Design', 'Python', 'Blockchain']","['Jeux vidéo', 'Robotique']",Design Python Blockchain Design Python Blockchain Design Python Blockchain Jeux vidéo Robotique Jeux vidéo Robotique Groupe IA Club Robotique
4,Etudiant_4,9.0,[36],['Association Écologie'],23.0,"['Blockchain', 'Data Science']",['Robotique'],Blockchain Data Science Blockchain Data Science Blockchain Data Science Robotique Robotique Association Écologie
5,Etudiant_5,7.0,[10],"['Association Écologie', 'Club Entrepreneurs']",64.0,"['Électronique', 'Design']",['Musique'],Électronique Design Électronique Design Électronique Design Musique Musique Association Écologie Club Entrepreneurs
6,Etudiant_6,5.0,"[47, 35, 30]",['Association Écologie'],9.0,['Blockchain'],"['Entrepreneuriat', 'Musique']",Blockchain Blockchain Blockchain Entrepreneuriat Musique Entrepreneuriat Musique Association Écologie
7,Etudiant_7,5.0,"[12, 35, 20, 43, 17]",['Club Data Science'],29.0,"['Blockchain', 'Marketing', 'Électronique']","['Écologie', 'Jeux vidéo']",Blockchain Marketing Électronique Blockchain Marketing Électronique Blockchain Marketing Électronique Écologie Jeux vidéo Écologie Jeux vidéo Club Data Science
8,Etudiant_8,2.0,"[19, 33, 24]",['Club Robotique'],82.0,"['Électronique', 'Marketing']",['Écologie'],Électronique Marketing Électronique Marketing Électronique Marketing Écologie Écologie Club Robotique
9,Etudiant_9,9.0,"[3, 37, 28, 23, 43]","['Club Data Science', 'Association Écologie']",8.0,"['Blockchain', 'Marketing', 'IA']","['Jeux vidéo', 'Écologie', 'Robotique']",Blockchain Marketing IA Blockchain Marketing IA Blockchain Marketing IA Jeux vidéo Écologie Robotique Jeux vidéo Écologie Robotique Club Data Science Association Écologie
10,Etudiant_10,5.0,"[43, 14, 25]",['Association Écologie'],72.0,"['Design', 'IA']",['Jeux vidéo'],Design IA Design IA Design IA Jeux vidéo Jeux vidéo Association Écologie
11,Etudiant_11,2.0,"[33, 46, 14, 37]",['Club Data Science'],88.0,"['IA', 'Électronique', 'Data Science']",['Musique'],IA Électronique Data Science IA Électronique Data Science IA Électronique Data Science Musique Musique Club Data Science
12,Etudiant_12,8.0,"[8, 26, 43]","['Club Data Science', 'Association Écologie']",39.0,"['Design', 'Électronique']",['Musique'],Design Électronique Design Électronique Design Électronique Musique Musique Club Data Science Association Écologie
13,Etudiant_13,1.0,"[41, 42, 47, 31, 12]",['Club Entrepreneurs'],89.0,"['IA', 'Électronique']",['Robotique'],IA Électronique IA Électronique IA Électronique Robotique Robotique Club Entrepreneurs
14,Etudiant_14,7.0,"[29, 28, 47, 50, 42]",['Club Data Science'],71.0,['IA'],"['Hackathon', 'Entrepreneuriat']",IA IA IA Hackathon Entrepreneuriat Hackathon Entrepreneuriat Club Data Science
15,Etudiant_15,5.0,"[9, 45, 29, 41, 16]","['Association Écologie', 'Groupe IA']",83.0,['Python'],['Musique'],Python Python Python Musique Musique Association Écologie Groupe IA
16,Etudiant_16,5.0,[3],['Association Écologie'],7.0,['Blockchain'],"['Robotique', 'Entrepreneuriat']",Blockchain Blockchain Blockchain Robotique Entrepreneuriat Robotique Entrepreneuriat Association Écologie
17,Etudiant_17,4.0,[7],"['Groupe IA', 'Club Robotique']",80.0,['Électronique'],"['Écologie', 'Hackathon', 'Robotique']",Électronique Électronique Électronique Écologie Hackathon Robotique Écologie Hackathon Robotique Groupe IA Club Robotique
18,Etudiant_18,7.0,"[19, 10, 2, 41]",['Club Entrepreneurs'],45.0,"['Blockchain', 'Électronique', 'Design']","['Jeux vidéo', 'Musique']",Blockchain Électronique Design Blockchain Électronique Design Blockchain Électronique Design Jeux vidéo Musique Jeux vidéo Musique Club Entrepreneurs
19,Etudiant_19,10.0,"[9, 27]",['Club Data Science'],48.0,"['Marketing', 'Blockchain', 'Électronique']",['Jeux vidéo'],Marketing Blockchain Électronique Marketing Blockchain Électronique Marketing Blockchain Électronique Jeux vidéo Jeux vidéo Club Data Science
20,Etudiant_20,5.0,"[39, 10, 41, 6, 49]",['Club Entrepreneurs'],81.0,"['IA', 'Blockchain']","['Musique', 'Entrepreneuriat', 'Écologie']",IA Blockchain IA Blockchain IA Blockchain Musique Entrepreneuriat Écologie Musique Entrepreneuriat Écologie Club Entrepreneurs
21,Etudiant_21,2.0,"[50, 27, 44]","['Club Robotique', 'Groupe IA']",100.0,"['Data Science', 'Électronique', 'Marketing']",['Robotique'],Data Science Électronique Marketing Data Science Électronique Marketing Data Science Électronique Marketing Robotique Robotique Club Robotique Groupe IA
22,Etudiant_22,7.0,"[18, 14, 6, 30, 24]","['Groupe IA', 'Club Robotique']",38.0,"['IA', 'Blockchain']","['Musique', 'Hackathon', 'Entrepreneuriat']",IA Blockchain IA Blockchain IA Blockchain Musique Hackathon Entrepreneuriat Musique Hackathon Entrepreneuriat Groupe IA Club Robotique
23,Etudiant_23,2.0,"[32, 49]",['Association Écologie'],34.0,['Blockchain'],"['Hackathon', 'Entrepreneuriat']",Blockchain Blockchain Blockchain Hackathon Entrepreneuriat Hackathon Entrepreneuriat Association Écologie
24,Etudiant_24,8.0,[41],"['Club Robotique', 'Groupe IA']",73.0,"['Blockchain', 'Design', 'Marketing']",['Jeux vidéo'],Blockchain Design Marketing Blockchain Design Marketing Blockchain Design Marketing Jeux vidéo Jeux vidéo Club Robotique Groupe IA
25,Etudiant_25,6.0,"[19, 8, 50, 49]","['Club Robotique', 'Club Entrepreneurs']",89.0,"['IA', 'Design', 'Python']","['Robotique', 'Hackathon']",IA Design Python IA Design Python IA Design Python Robotique Hackathon Robotique Hackathon Club Robotique Club Entrepreneurs
26,Etudiant_26,3.0,"[48, 49, 14, 9]","['Club Robotique', 'Groupe IA']",68.0,"['Python', 'Design']",['Musique'],Python Design Python Design Python Design Musique Musique Club Robotique Groupe IA
27,Etudiant_27,2.0,"[40, 43, 17]","['Club Data Science', 'Groupe IA']",64.0,['Design'],['Entrepreneuriat'],Design Design Design Entrepreneuriat Entrepreneuriat Club Data Science Groupe IA
28,Etudiant_28,4.0,"[10, 40, 3, 42, 9]",['Groupe IA'],70.0,['Data Science'],"['Écologie', 'Musique']",Data Science Data Science Data Science Écologie Musique Écologie Musique Groupe IA
29,Etudiant_29,3.0,"[50, 42, 27, 21]",['Club Data Science'],98.0,"['Marketing', 'Data Science', 'IA']","['Écologie', 'Jeux vidéo']",Marketing Data Science IA Marketing Data Science IA Marketing Data Science IA Écologie Jeux vidéo Écologie Jeux vidéo Club Data Science
30,Etudiant_30,1.0,[25],"['Club Robotique', 'Club Data Science']",93.0,['Blockchain'],"['Musique', 'Robotique']",Blockchain Blockchain Blockchain Musique Robotique Musique Robotique Club Robotique Club Data Science
31,Etudiant_31,2.0,"[17, 29, 24, 34]","['Association Écologie', 'Club Entrepreneurs']",16.0,"['Python', 'Blockchain', 'Marketing']","['Hackathon', 'Robotique', 'Écologie']",Python Blockchain Marketing Python Blockchain Marketing Python Blockchain Marketing Hackathon Robotique Écologie Hackathon Robotique Écologie Association Écologie Club Entrepreneurs
